#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.08,0.00
1,1000,5.10,0.20
2,1000,5.10,0.39
4,1000,5.14,0.78
8,1000,5.10,1.57
16,1000,5.09,3.14
32,1000,5.10,6.28
64,1000,5.10,12.55
128,1000,5.13,24.93
256,1000,5.18,49.45
512,1000,6.50,78.73
1024,1000,6.64,154.17
2048,1000,6.87,297.97
4096,1000,7.44,550.23
8192,1000,8.26,991.91
16384,1000,14.69,1115.10
32768,1000,22.17,1478.06
65536,640,39.02,1679.50
131072,320,72.82,1799.95
262144,160,58.03,4517.64
524288,80,89.92,5830.65
1048576,40,152.73,6865.70
2097152,20,304.08,6896.60
4194304,10,642.91,6523.97
8388608,5,1493.36,5617.28
16777216,2,3264.90,5138.66
33554432,1,6502.98,5159.85
67108864,1,13033.66,5148.89
134217728,1,25900.69,5182.01
268435456,1,51931.55,5169.02
