#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.24
2,1000,0.45,4.46
4,1000,0.45,8.93
8,1000,0.45,17.72
16,1000,0.45,35.57
32,1000,0.50,64.48
64,1000,0.48,132.38
128,1000,0.60,213.56
256,1000,0.63,408.95
512,1000,0.92,554.60
1024,1000,0.98,1045.56
2048,1000,1.09,1880.07
4096,1000,1.55,2637.47
8192,1000,2.04,4007.99
16384,1000,3.49,4691.66
32768,1000,5.55,5899.76
65536,640,9.43,6949.41
131072,320,15.56,8422.98
262144,160,28.49,9200.34
524288,80,67.99,7711.35
1048576,40,133.33,7864.72
2097152,20,261.19,8029.26
4194304,10,518.35,8091.69
8388608,5,1093.70,7669.95
16777216,2,2361.34,7104.97
33554432,1,7887.43,4254.17
67108864,1,15934.75,4211.48
134217728,1,31753.16,4226.91
268435456,1,62623.31,4286.51
