#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.42,0.00
1,1000,9.47,0.11
2,1000,9.40,0.21
4,1000,9.43,0.42
8,1000,9.45,0.85
16,1000,9.48,1.69
32,1000,9.46,3.38
64,1000,9.44,6.78
128,1000,17.84,7.18
256,1000,16.82,15.22
512,1000,19.66,26.04
1024,1000,25.89,39.56
2048,1000,21.02,97.43
4096,1000,21.11,194.00
8192,1000,21.63,378.65
16384,1000,24.00,682.58
32768,1000,32.19,1018.05
65536,640,49.95,1311.95
131072,320,70.65,1855.13
262144,160,109.21,2400.42
524288,80,195.88,2676.63
1048576,40,356.03,2945.19
2097152,20,671.11,3124.89
4194304,10,1367.58,3066.95
8388608,5,2681.45,3128.39
16777216,2,5523.15,3037.62
33554432,1,11160.67,3006.49
67108864,1,22588.16,2970.98
134217728,1,43960.59,3053.14
268435456,1,88978.41,3016.86
