#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,6.39,0.00
1,1000,6.38,0.16
2,1000,6.40,0.31
4,1000,6.38,0.63
8,1000,6.40,1.25
16,1000,6.39,2.51
32,1000,6.38,5.01
64,1000,6.39,10.02
128,1000,6.44,19.88
256,1000,10.63,24.09
512,1000,12.03,42.57
1024,1000,15.13,67.67
2048,1000,13.24,154.67
4096,1000,13.74,298.13
8192,1000,14.14,579.24
16384,1000,14.17,1156.29
32768,1000,15.36,2133.79
65536,640,22.65,2893.04
131072,320,28.96,4525.63
262144,160,45.71,5735.35
524288,80,85.28,6147.70
1048576,40,182.85,5734.58
2097152,20,370.49,5660.45
4194304,10,590.96,7097.39
8388608,5,1793.56,4677.07
16777216,2,3056.68,5488.70
33554432,1,6307.57,5319.71
67108864,1,12518.97,5360.57
134217728,1,44966.88,2984.81
268435456,1,49850.23,5384.84
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,6.43,0.00
1,1000,6.49,0.15
2,1000,6.47,0.31
4,1000,6.49,0.62
8,1000,6.49,1.23
16,1000,6.47,2.47
32,1000,6.47,4.95
64,1000,6.49,9.86
128,1000,6.50,19.69
256,1000,11.34,22.57
512,1000,13.07,39.19
1024,1000,16.51,62.02
2048,1000,13.62,150.39
4096,1000,14.22,288.12
8192,1000,13.82,592.71
16384,1000,14.01,1169.27
32768,1000,16.02,2045.18
65536,640,24.04,2725.66
131072,320,30.70,4269.94
262144,160,45.51,5760.11
524288,80,81.64,6421.92
1048576,40,153.51,6830.86
2097152,20,336.40,6234.10
4194304,10,644.74,6505.41
8388608,5,1495.88,5607.81
16777216,2,3176.06,5282.41
33554432,1,6471.37,5185.06
67108864,1,12937.91,5186.99
134217728,1,26017.95,5158.66
268435456,1,52383.45,5124.43
